word	phones
way	w eɪ
try	t ɹ aɪ
let's	l ɛ t s
wrong	ɹ ɔ ŋ
mommy	m ɑ m iː
me	m iː
excuse	ɪ k s k j uː s
beads	b iː d z
i'll	aɪ l
octopus	ɑ k t ə p ʊ s
ones	w ʌ n z
sitting	s ɪ t ɪ ŋ
goes	ɡ oʊ z
nope	n oʊ p
come	k ʌ m
shoe	ʃ uː
my	m aɪ
job	dʒ ɑ b
oop	uː p
cow	k aʊ
hat	h æ t
blue	b l uː
him	h ɪ m
bless	b l ɛ s
polished	p ɑ l ɪ ʃ t
jump	dʒ ʌ m p
orange	ɔ ɹ ə n dʒ
starfish	s t ɑ ɹ f ɪ ʃ
tea	t iː
remember	ɹ ɪ m ɛ m b ə ɹ
alright	ɔ l ɹ aɪ t
nervous	n ɜː v ə s
makes	m eɪ k s
red	ɹ ɛ d
fishy	f ɪ ʃ iː
want	w ɑ n t
d'you	d j ʊ
project	p ɹ ɑ dʒ ɛ k t
daddy's	d æ d iː z
green	ɡ ɹ iː n
ball	b ɔ l
yellow	j ɛ l oʊ
helping	h ɛ l p ɪ ŋ
aw	ɔ
chest	tʃ ɛ s t
treasure	t ɹ ɛ ʒ ə ɹ
sign	s aɪ n
fishing	f ɪ ʃ ɪ ŋ
anymore	ɛ n iː m ɔ ɹ
piggy	p ɪ ɡ iː
kiss	k ɪ s
cold	k oʊ l d
duh	d ʌ
missing	m ɪ s ɪ ŋ
now	n aʊ
drooling	d ɹ uː l ɪ ŋ
doing	d uː ɪ ŋ
what're	w ʌ t ə ɹ
car	k ɑ ɹ
bat	b æ t
button	b ʌ t ə n
thing	θ ɪ ŋ
room	ɹ uː m
be	b iː
must	m ʌ s t
boat	b oʊ t
bee	b iː
sit	s ɪ t
gave	ɡ eɪ v
ya	j ɑ
like	l aɪ k
would	w ʊ d
sweet	s w iː t
was	w ɑ z
throw	θ ɹ oʊ
pop	p ɑ p
better	b ɛ t ə ɹ
tired	t aɪ ə ɹ d
matter	m æ t ə ɹ
does	d ʌ z
sorry	s ɑ ɹ iː
fits	f ɪ t s
these	ð iː z
hook	h ʊ k
head	h ɛ d
read	ɹ ɛ d
enough	ɪ n ʌ f
something's	s ʌ m θ ɪ ŋ z
nose	n oʊ z
his	h ɪ z
follows	f ɑ l oʊ z
opposites	ɑ p ə z ə t s
book	b ʊ k
well	w ɛ l
as	æ z
work	w ɜː k
will	w ɪ l
snuffle	s n ʌ f l
or	ɔ ɹ
beak	b iː k
smell	s m ɛ l
noses	n oʊ z ɪ z
our	aʊ ə ɹ
use	j uː s
again	ə ɡ ɛ n
ahead	ə h ɛ d
fit	f ɪ t
piece	p iː s
dry	d ɹ aɪ
hung	h ʌ ŋ
clothes	k l oʊ ð z
washed	w ɑ ʃ t
freshly	f ɹ ɛ ʃ l iː
pie	p aɪ
blueberry	b l uː b ɛ ɹ iː
bakes	b eɪ k s
while	w aɪ l
bread	b ɹ ɛ d
tall	t ɔ l
short	ʃ ɔ ɹ t
flowers	f l aʊ ə ɹ z
full	f ʊ l
field	f iː l d
from	f ɹ ʌ m
breath	b ɹ ɛ θ
showers	ʃ aʊ ə ɹ z
summer	s ʌ m ə ɹ
warm	w ɔ ɹ m
after	æ f t ə ɹ
trees	t ɹ iː z
earth	ɜː θ
bug	b ʌ ɡ
tweedle	t w iː d ə l
daddy	d æ d iː
football	f ʊ t b ɔ l
junk	dʒ ʌ ŋ k
pile	p aɪ l
oscar's	ɔ s k ə ɹ z
pass	p æ s
dub	d ʌ b
rub	ɹ ʌ b
tubby	t ʌ b iː
filled	f ɪ l d
bubble	b ʌ b ə l
relax	ɹ ɪ l æ k s
off	ɔ f
funny	f ʌ n iː
narrow	n ɛ ɹ oʊ
wide	w aɪ d
gonna	ɡ ɑ n ə
had	h æ d
chair	tʃ ɛ ɹ
rubber	ɹ ʌ b ə ɹ
grouchy	ɡ ɹ aʊ tʃ iː
escape	ɪ s k eɪ p
zoo	z uː
bear	b ɛ ɹ
new	n uː
empty	ɛ m p t iː
went	w ɛ n t
far	f ɑ ɹ
near	n ɪ ɹ
spoon	s p uː n
singing	s ɪ ŋ ɪ ŋ
love	l ʌ v
birds	b ɜː d z
noise	n ɔɪ z
babies	b eɪ b iː z
something	s ʌ m θ ɪ ŋ
loves	l ʌ v z
everyone	ɛ v ɹ iː w ʌ n
hello	h ə l oʊ
elmo	ɛ l m oʊ
who	h uː
guess	ɡ ɛ s
coo	k uː
pigeons	p ɪ dʒ ə n z
burt	b ɜː t
toys	t ɔɪ z
kids	k ɪ d z
goodbye	ɡ ʊ d b aɪ
supplies	s ə p l aɪ z
ride	ɹ aɪ d
cry	k ɹ aɪ
tears	t ɛ ɹ z
wipe	w aɪ p
mud	m ʌ d
roll	ɹ oʊ l
piggies	p ɪ ɡ ɪ z
gone	ɡ ɔ n
step	s t ɛ p
end	ɛ n d
snow	s n oʊ
penguins	p ɛ ŋ ɡ w ə n z
feet	f iː t
got	ɡ ɑ t
i've	aɪ v
ah	ɑ
crow	k ɹ oʊ
roosters	ɹ uː s t ə ɹ z
early	ɜː l iː
wake	w eɪ k
farmers	f ɑ ɹ m ə ɹ z
yay	j eɪ
lunch	l ʌ n tʃ
delicious	d ɪ l ɪ ʃ ə s
going	ɡ oʊ ɪ ŋ
library	l aɪ b ɹ ɛ ɹ iː
zoey	z oʊ iː
hug	h ʌ ɡ
give	ɡ ɪ v
kay	k eɪ
quietly	k w aɪ ə t l iː
whispers	w ɪ s p ə ɹ z
drum	d ɹ ʌ m
counting	k aʊ n t ɪ ŋ
count	k aʊ n t
oops	uː p s
set	s ɛ t
exercise	ɛ k s ə ɹ s aɪ z
monsters	m ɑ n s t ə ɹ z
check	tʃ ɛ k
pressed	p ɹ ɛ s t
station	s t eɪ ʃ ə n
news	n uː z
gum	ɡ ʌ m
around	ə ɹ aʊ n d
turn	t ɜː n
peekaboo	p iː k ə b uː
playing	p l eɪ ɪ ŋ
her	h ɜː
natasha	n ə t ɑ ʃ ə
bananas	b ə n æ n ə z
monkeys	m ʌ ŋ k iː z
yourself	j ə ɹ s ɛ l f
hit	h ɪ t
could	k ʊ d
socks	s ɑ k s
where're	w ɛ ɹ ə ɹ
pool	p uː l
trash	t ɹ æ ʃ
grouches	ɡ ɹ aʊ tʃ ɪ z
backwards	b æ k w ə ɹ d z
ignoring	ɪ ɡ n ɔ ɹ ɪ ŋ
dog	d ɔ ɡ
cute	k j uː t
has	h æ z
lovely	l ʌ v l iː
at	æ t
an	æ n
true	t ɹ uː
told	t oʊ l d
forwards	f ɔ ɹ w ə ɹ d z
they	ð eɪ
thirsty	θ ɜː s t iː
there's	ð ɛ ɹ z
peaches	p iː tʃ ə z
flying	f l aɪ ɪ ŋ
remote	ɹ ɪ m oʊ t
silly	s ɪ l iː
crazy	k ɹ eɪ z iː
silliest	s ɪ l iː ə s t
stool	s t uː l
foot	f ʊ t
telly	t ɛ l iː
apple	æ p ə l
train	t ɹ eɪ n
sharing	ʃ ɛ ɹ ɪ ŋ
about	ə b aʊ t
slide	s l aɪ d
grapes	ɡ ɹ eɪ p s
straps	s t ɹ æ p s
losing	l uː z ɪ ŋ
says	s ɛ z
drink	d ɹ ɪ ŋ k
mm	m
saying	s eɪ ɪ ŋ
shovel	ʃ ʌ v ə l
bert	b ɜː t
rough	ɹ ʌ f
banana	b ə n æ n ə
carrots	k æ ɹ ə t s
wind	w aɪ n d
away	ə w eɪ
alex's	æ l ə k s ɪ z
quick	k w ɪ k
baseball	b eɪ s b ɔ l
telephone	t ɛ l ə f oʊ n
loud	l aʊ d
shush	ʃ ʊ ʃ
crackers	k ɹ æ k ə ɹ z
track	t ɹ æ k
uh	ʌ
by	b aɪ
showed	ʃ oʊ d
candle	k æ n d ə l
made	m eɪ d
though	ð oʊ
touch	t ʌ tʃ
shouldn't	ʃ ʊ d ə n t
press	p ɹ ɛ s
works	w ɜː k s
deal	d iː l
scoop	s k uː p
al	æ l
rid	ɹ ɪ d
alligator	æ l ə ɡ eɪ t ə ɹ
music	m j uː z ɪ k
trains	t ɹ eɪ n z
those	ð oʊ z
tip	t ɪ p
isn't	ɪ z ə n t
puzzles	p ʌ z ə l z
batteries	b æ t ə ɹ iː z
needs	n iː d z
fork	f ɔ ɹ k
you'd	j uː d
pit	p ɪ t
gravel	ɡ ɹ æ v ə l
bye	b aɪ
sky	s k aɪ
tracks	t ɹ æ k s
back	b æ k
hm	h m
errands	ɛ ɹ ə n d z
were	w ɜː
thought	θ ɔ t
helper	h ɛ l p ə ɹ
lost	l ɔ s t
didn't	d ɪ d ə n t
fix	f ɪ k s
lemme	l ɛ m ə
why	w aɪ
started	s t ɑ ɹ t ɪ d
kitten	k ɪ t ə n
side	s aɪ d
everything	ɛ v ɹ iː θ ɪ ŋ
tissue	t ɪ s j uː
meow	m iː aʊ
thomas	t ɑ m ə s
show	ʃ oʊ
face	f eɪ s
toes	t oʊ z
second	s ɛ k ə n d
hey	h eɪ
market	m ɑ ɹ k ə t
awhile	ə w aɪ l
haven't	h æ v ə n t
ooh	uː
home	h oʊ m
stayed	s t eɪ d
vroom	v ɹ uː m
beef	b iː f
roast	ɹ oʊ s t
more	m ɔ ɹ
none	n ʌ n
seat	s iː t
squeak	s k w iː k
duck	d ʌ k
toot	t uː t
cried	k ɹ aɪ d
ring	ɹ ɪ ŋ
phone	f oʊ n
bang	b æ ŋ
whoa	w oʊ
crash	k ɹ æ ʃ
blocks	b l ɑ k s
jack	dʒ æ k
night	n aɪ t
wish	w ɪ ʃ
monster	m ɑ n s t ə ɹ
teddy	t ɛ d iː
honk	h ɑ ŋ k
dust	d ʌ s t
shaker	ʃ eɪ k ə ɹ
sits	s ɪ t s
haircut	h ɛ ɹ k ʌ t
egg	ɛ ɡ
schoolbus	s k uː l b ʌ s
then	ð ɛ n
pig	p ɪ ɡ
slurping	s l ɜː p ɪ ŋ
flower	f l aʊ ə ɹ
hungry	h ʌ ŋ ɡ ɹ iː
goose	ɡ uː s
pages	p eɪ dʒ ə z
chew	tʃ uː
sure	ʃ ʊ ɹ
make	m eɪ k
sticking	s t ɪ k ɪ ŋ
hair	h ɛ ɹ
comes	k ʌ m z
lookit	l ʊ k ɪ t
times	t aɪ m z
hundred	h ʌ n d ɹ ə d
street	s t ɹ iː t
turning	t ɜː n ɪ ŋ
bite	b aɪ t
soup	s uː p
don	d ɑ n
still	s t ɪ l
turkey	t ɜː k iː
broke	b ɹ oʊ k
without	w ɪ θ aʊ t
wait	w eɪ t
floor	f l ɔ ɹ
wash	w ɑ ʃ
door	d ɔ ɹ
shut	ʃ ʌ t
this'll	ð ɪ s ə l
quack	k w æ k
duckies	d ʌ k ɪ z
cereal	s ɪ ɹ iː ə l
pink	p ɪ ŋ k
tweet	t w iː t
birdies	b ɜː d iː z
bleat	b l iː t
goats	ɡ oʊ t s
moo	m uː
cows	k aʊ z
horn	h ɔ ɹ n
doesn't	d ʌ z ə n t
which	w ɪ tʃ
fan	f æ n
spray	s p ɹ eɪ
donkeys	d ɑ ŋ k iː z
neigh	n eɪ
horses	h ɔ ɹ s ə z
cheep	tʃ iː p
crickets	k ɹ ɪ k ə t s
peep	p iː p
chicks	tʃ ɪ k s
strawberries	s t ɹ ɔ b ɛ ɹ iː z
never	n ɛ v ə ɹ
absolutely	æ b s ə l uː t l iː
speak	s p iː k
children	tʃ ɪ l d ɹ ə n
shriek	ʃ ɹ iː k
peacocks	p iː k ɑ k s
squawk	s k w ɔ k
hens	h ɛ n z
talk	t ɔ k
parrots	p ɛ ɹ ə t s
keys	k iː z
pull	p ʊ l
blow	b l oʊ
elephants	ɛ l ə f ə n t s
bunnies	b ʌ n iː z
pigs	p ɪ ɡ z
bunny	b ʌ n iː
cookie	k ʊ k iː
sun	s ʌ n
break	b ɹ eɪ k
minute	m ɪ n ə t
crumbs	k ɹ ʌ m z
many	m ɛ n iː
let	l ɛ t
yours	j ʊ ɹ z
open	oʊ p ə n
billy	b ɪ l iː
build	b ɪ l d
hammer	h æ m ə ɹ
much	m ʌ tʃ
one's	w ʌ n z
balls	b ɔ l z
whoop	w uː p
rocks	ɹ ɑ k s
spot	s p ɑ t
bring	b ɹ ɪ ŋ
toothbrush	t uː θ b ɹ ə ʃ
teeth	t iː θ
brushing	b ɹ ʌ ʃ ɪ ŋ
came	k eɪ m
promise	p ɹ ɑ m ə s
real	ɹ iː l
run	ɹ ʌ n
string	s t ɹ ɪ ŋ
broken	b ɹ oʊ k ə n
kick	k ɪ k
kitty	k ɪ t iː
pillow	p ɪ l oʊ
hurt	h ɜː t
together	t ə ɡ ɛ ð ə ɹ
test	t ɛ s t
when	w ɛ n
attention	ə t ɛ n ʃ ə n
pay	p eɪ
climb	k l aɪ m
notice	n oʊ t ə s
waiting	w eɪ t ɪ ŋ
y'know	j ə n oʊ
slow	s l oʊ
you've	j uː v
alone	ə l oʊ n
mimi	m iː m iː
neighborhood	n eɪ b ə ɹ h ʊ d
laugh	l æ f
such	s ʌ tʃ
light	l aɪ t
stay	s t eɪ
pants	p æ n t s
ski	s k iː
even	iː v ɪ n
pretend	p ɹ iː t ɛ n d
catch	k æ tʃ
swim	s w ɪ m
dive	d aɪ v
christmas	k ɹ ɪ s m ə s
ladder	l æ d ə ɹ
wall	w ɔ l
tell	t ɛ l
gotta	ɡ ɑ t ə
trying	t ɹ aɪ ɪ ŋ
cat	k æ t
cracker	k ɹ æ k ə ɹ
monkey	m ʌ ŋ k iː
dada	d ɑ d ɑ
easy	iː z iː
harry	h ɛ ɹ iː
mail	m eɪ l
cook	k ʊ k
rosita	ɹ oʊ z iː t ə
letter	l ɛ t ə ɹ
start	s t ɑ ɹ t
sedated	s ɪ d eɪ t ɪ d
both	b oʊ θ
minutes	m ɪ n ə t s
few	f j uː
took	t ʊ k
said	s ɛ d
hood	h ʊ d
should	ʃ ʊ d
vet	v ɛ t
visits	v ɪ z ɪ t s
rocky	ɹ ɑ k iː
peddles	p ɛ d ə l z
microphone	m aɪ k ɹ ə f oʊ n
haircuts	h ɛ ɹ k ʌ t s
already	ɔ l ɹ ɛ d iː
month	m ʌ n θ
every	ɛ v ə ɹ iː
listen	l ɪ s ə n
engine	ɛ n dʒ ə n
shh	ʃ
balancing	b æ l ə n s ɪ ŋ
jumps	dʒ ʌ m p s
camera	k æ m ə ɹ ə
peddle	p ɛ d ə l
straighten	s t ɹ eɪ t ə n
trampoline	t ɹ æ m p ə l iː n
brushes	b ɹ ʌ ʃ ɪ z
eddy	ɛ d iː
ugh	ʌ ɡ
magazine	m æ ɡ ə z iː n
people	p iː p ə l
steer	s t ɪ ɹ
bounces	b aʊ n s ɪ z
lot	l ɑ t
time	t aɪ m
sneaker	s n iː k ə ɹ
page	p eɪ dʒ
skipped	s k ɪ p t
rakes	ɹ eɪ k s
day	d eɪ
friends	f ɹ ɛ n d z
size	s aɪ z
medium	m iː d iː ə m
snack	s n æ k
won't	w oʊ n t
plane	p l eɪ n
juice	dʒ uː s
scared	s k ɛ ɹ d
jam	dʒ æ m
shining	ʃ aɪ n ɪ ŋ
greet	ɡ ɹ iː t
morning	m ɔ ɹ n ɪ ŋ
puddle	p ʌ d ə l
fruit	f ɹ uː t
gobble	ɡ ɑ b ə l
splash	s p l æ ʃ
man	m æ n
ginger	dʒ ɪ n dʒ ə ɹ
fun	f ʌ n
mustard	m ʌ s t ə ɹ d
wet	w ɛ t
gets	ɡ ɛ t s
patriots	p eɪ t ɹ iː ə t s
eggs	ɛ ɡ z
cream	k ɹ iː m
ice	aɪ s
sardines	s ɑ ɹ d iː n z
rope	ɹ oʊ p
different	d ɪ f ə ɹ ə n t
slimy	s l aɪ m iː
skip	s k ɪ p
fly	f l aɪ
first	f ɜː s t
playin'	p l eɪ ɪ n
whole	h oʊ l
she	ʃ iː
babysat	b eɪ b iː s æ t
windy	w ɪ n d iː
four	f ɔ ɹ
always	ɔ l w eɪ z
bernice	b ə ɹ n iː s
sandwich	s æ n d w ɪ tʃ
scotch	s k ɑ tʃ
hop	h ɑ p
tub	t ʌ b
scrubby	s k ɹ ʌ b iː
bars	b ɑ ɹ z
bank	b æ ŋ k
fold	f oʊ l d
bath	b æ θ
joins	dʒ ɔɪ n z
pal	p æ l
table	t eɪ b ə l
color	k ʌ l ə ɹ
sand	s æ n d
lands	l æ n d z
soap	s oʊ p
send	s ɛ n d
yes	j ɛ s
man's	m æ n z
tuck	t ʌ k
likes	l aɪ k s
vase	v eɪ s
game	ɡ eɪ m
guessing	ɡ ɛ s ɪ ŋ
being	b iː ɪ ŋ
probably	p ɹ ɑ b ə b l iː
boots	b uː t s
nook	n ʊ k
cozy	k oʊ z iː
cuddled	k ʌ d ə l d
settle	s ɛ t ə l
shanties	ʃ æ n t iː z
seaside	s iː s aɪ d
sydney	s ɪ d n iː
purple	p ɜː p ə l
bench	b ɛ n tʃ
favorite	f eɪ v ə ɹ ɪ t
story	s t ɔ ɹ iː
slot	s l ɑ t
tight	t aɪ t
shark	ʃ ɑ ɹ k
sleep	s l iː p
busy	b ɪ z iː
been	b ɪ n
sheep	ʃ iː p
helps	h ɛ l p s
david	d eɪ v ɪ d
friend	f ɹ ɛ n d
best	b ɛ s t
yikes	j aɪ k s
upstairs	ə p s t ɛ ɹ z
balloons	b ə l uː n z
crab	k ɹ æ b
umbrella	ə m b ɹ ɛ l ə
reason	ɹ iː z ə n
sideways	s aɪ d w eɪ z
walking	w ɔ k ɪ ŋ
excellent	ɛ k s ə l ə n t
cheese	tʃ iː z
grilled	ɡ ɹ ɪ l d
yup	j ʌ p
reindeer	ɹ eɪ n d ɪ ɹ
spy	s p aɪ
sneaky	s n iː k iː
himself	h ɪ m s ɛ l f
accidents	æ k s ə d ə n t s
turtles	t ɜː t ə l z
tossed	t ɔ s t
pretty	p ɹ ɪ t iː
she's	ʃ iː z
water	w ɔ t ə ɹ
beach	b iː tʃ
crawl	k ɹ ɔ l
milk	m ɪ l k
land	l æ n d
bury	b ɛ ɹ iː
pick	p ɪ k
scamper	s k æ m p ə ɹ
hatch	h æ tʃ
batch	b æ tʃ
lay	l eɪ
giving	ɡ ɪ v ɪ ŋ
crayon	k ɹ eɪ ɑ n
dinosaur	d aɪ n ə s ɔ ɹ
line	l aɪ n
spells	s p ɛ l z
race	ɹ eɪ s
angelfish	eɪ n dʒ ə l f ɪ ʃ
panda	p æ n d ə
drop	d ɹ ɑ p
doo	d uː
whatever	w ʌ t ɛ v ə ɹ
darling	d ɑ ɹ l ɪ ŋ
sea	s iː
prettiest	p ɹ ɪ t iː ə s t
choose	tʃ uː z
aboard	ə b ɔ ɹ d
gorgeous	ɡ ɔ ɹ dʒ ə s
creatures	k ɹ iː tʃ ə ɹ z
shame	ʃ eɪ m
next	n ɛ k s t
heat	h iː t
lower	l oʊ ə ɹ
cooler	k uː l ə ɹ
carrying	k æ ɹ iː ɪ ŋ
birdie	b ɜː d iː
mountain	m aʊ n t ə n
girls	ɡ ɜː l z
boys	b ɔɪ z
lemon	l ɛ m ə n
walrus	w ɔ l ɹ ə s
nighttime	n aɪ t t aɪ m
trust	t ɹ ʌ s t
hooray	h ʊ ɹ eɪ
carlos	k ɑ ɹ l oʊ s
wan	w ɑ n
easter	iː s t ə ɹ
muscles	m ʌ s ə l z
doggie	d ɔ ɡ iː
instead	ɪ n s t ɛ d
rug	ɹ ʌ ɡ
jelly	dʒ ɛ l iː
graham	ɡ ɹ eɪ ə m
farm	f ɑ ɹ m
macdonald's	m ə k d ɑ n ə l d z
old	oʊ l d
sesame	s ɛ s ə m iː
called	k ɔ l d
aye	aɪ
ee	iː
rooster	ɹ uː s t ə ɹ
runs	ɹ ʌ n z
caterpillar	k æ t ə p ɪ l ə ɹ
than	ð æ n
faster	f æ s t ə ɹ
teeny	t iː n iː
frustrated	f ɹ ʌ s t ɹ eɪ t ə d
drumming	d ɹ ʌ m ɪ ŋ
farmer	f ɑ ɹ m ə ɹ
cheap	tʃ iː p
stuff	s t ʌ f
santa	s æ n t ə
colors	k ʌ l ə ɹ z
choo	tʃ uː
talked	t ɔ k t
ducks	d ʌ k s
trampling	t ɹ æ m p l ɪ ŋ
fabulous	f æ b j ə l ə s
ladybug	l eɪ d iː b ʌ ɡ
touching	t ʌ tʃ ɪ ŋ
ever	ɛ v ə ɹ
looking	l ʊ k ɪ ŋ
ma	m ɑ
gimme	ɡ ɪ m iː
banging	b æ ŋ ɪ ŋ
grasshopper	ɡ ɹ æ s h ɑ p ə ɹ
bowl	b oʊ l
elephant	ɛ l ə f ə n t
gotcha	ɡ ɑ tʃ ə
dragonfly	d ɹ æ ɡ ə n f l aɪ
looks	l ʊ k s
nothing	n ʌ θ ɪ ŋ
dirt	d ɜː t
drawer	d ɹ ɔ ɹ
name	n eɪ m
tonight	t ə n aɪ t
coming	k ʌ m ɪ ŋ
papa	p ɑ p ʌ
squeaky	s k w iː k iː
spoons	s p uː n z
five	f aɪ v
six	s ɪ k s
ju	dʒ uː
seven	s ɛ v ə n
upside	ʌ p s aɪ d
eight	eɪ t
cannot	k æ n ɑ t
wants	w ɑ n t s
holding	h oʊ l d ɪ ŋ
disappeared	d ɪ s ə p ɪ ɹ d
figure	f ɪ ɡ j ə ɹ
mommy's	m ɑ m iː z
dripping	d ɹ ɪ p ɪ ŋ
couldn't	k ʊ d ə n t
knew	n uː
change	tʃ eɪ n dʒ
nine	n aɪ n
boo	b uː
heart	h ɑ ɹ t
white	w aɪ t
either	iː ð ə ɹ
mine	m aɪ n
rita	ɹ iː t ə
oscar	ɔ s k ə ɹ
spell	s p ɛ l
falling	f ɑ l ɪ ŋ
prizes	p ɹ aɪ z ə z
scoot	s k uː t
store	s t ɔ ɹ
sheet	ʃ iː t
baking	b eɪ k ɪ ŋ
crying	k ɹ aɪ ɪ ŋ
staple	s t eɪ p ə l
scrub	s k ɹ ʌ b
system	s ɪ s t ə m
mix	m ɪ k s
joey	dʒ oʊ iː
days	d eɪ z
seen	s iː n
word	w ɜː d
division	d ɪ v ɪ ʒ ə n
happen	h æ p ə n
ship	ʃ ɪ p
rocket	ɹ ɑ k ə t
cuddle	k ʌ d ə l
'em	ə m
fallin	f æ l ɪ n
breeze	b ɹ iː z
fell	f ɛ l
anybody	ɛ n iː b ə d iː
leaving	l iː v ɪ ŋ
hope	h oʊ p
bubba	b ʌ b ə
hurry	h ɜː iː
gigi	dʒ iː dʒ iː
heard	h ɜː d
snowing	s n oʊ ɪ ŋ
da	d ɑ
gabbing	ɡ æ b ɪ ŋ
carrier	k æ ɹ iː ə ɹ
through	θ ɹ uː
baked	b eɪ k t
noon	n uː n
delivering	d ɪ l ɪ v ə ɹ ɪ ŋ
business	b ɪ z n ə s
keep	k iː p
dancing	d æ n s ɪ ŋ
holes	h oʊ l z
kicking	k ɪ k ɪ ŋ
macaroni	m æ k ə ɹ oʊ n iː
beautiful	b j uː t ə f ə l
top	t ɑ p
kicker	k ɪ k ə ɹ
great	ɡ ɹ eɪ t
spinning	s p ɪ n ɪ ŋ
excused	ɪ k s k j uː z d
may	m eɪ
videos	v ɪ d iː oʊ z
pin	p ɪ n
rolling	ɹ oʊ l ɪ ŋ
believe	b ɪ l iː v
grammy's	ɡ ɹ æ m iː z
last	l æ s t
manners	m æ n ə ɹ z
bought	b ɑ t
cousin	k ʌ z ə n
sour	s aʊ ə ɹ
finish	f ɪ n ɪ ʃ
grumpy	ɡ ɹ ʌ m p iː
auntie	æ n t iː
breezy	b ɹ iː z iː
somebody's	s ʌ m b ɑ d iː z
yer	j ɜː
god	ɡ ɑ d
